"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2759","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","2577","@smoke home page title test","chromium","2026-06-25","passed","2026-06-25","","homepagefix.spec.ts","",""
"","2628","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","2548","@smoke user is able to login to app test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2333","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","0","home page headers exist test @junesprint","chromium","2026-06-25","skipped","2026-06-25","","homepage.spec.ts","",""
"","306","@regression DELETE API -- Delete a user","chromium","2026-06-25","passed","2026-06-25","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","0","user is able to login to app test","chromium","2026-06-25","skipped","2026-06-25","","loginpage.spec.ts","",""
"","3143","@regression login to app using wrong credentials with Data driven test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2398","invalid login test with JSON data - wrong@open.com","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","324","@regression PUT API -- Update a user","chromium","2026-06-25","passed","2026-06-25","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","0","Update a user test","chromium","2026-06-25","skipped","2026-06-25","","api/users.api.spec.ts","",""
"","269","@@regression mock search data api","chromium","2026-06-25","passed","2026-06-25","","api/intercept.spec.ts","",""
"","0","logout link exist test","chromium","2026-06-25","skipped","2026-06-25","","homepage.spec.ts","",""
"","1885","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2808","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","2201","@regression invalid login test with excel data - abccc@gmail.com","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","1537","@regression POST - create a user","chromium","2026-06-25","passed","2026-06-25","","api/users.api.indi.spec.ts","",""
"","388","@regression GET API -- get all users","chromium","2026-06-25","passed","2026-06-25","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","1325","@regression PUT - update a user","chromium","2026-06-25","passed","2026-06-25","","api/users.api.indi.spec.ts","",""
"","1859","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2607","@smoke logout link exist test","chromium","2026-06-25","passed","2026-06-25","","homepagefix.spec.ts","",""
"","668","@smoke GET -- get a user","chromium","2026-06-25","passed","2026-06-25","","api/users.api.schema.spec.ts","",""
"","1","create a user test","chromium","2026-06-25","skipped","2026-06-25","","api/users.api.spec.ts","",""
"","2297","invalid login test with JSON data - invalid@open.com","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2703","@regression home page headers exist test","chromium","2026-06-25","passed","2026-06-25","","homepagefix.spec.ts","",""
"","365","@smoke GET -- get all users","chromium","2026-06-25","passed","2026-06-25","","api/users.api.schema.spec.ts","",""
"","0","forgot pwd link exist test","chromium","2026-06-25","skipped","2026-06-25","","loginpage.spec.ts","",""
"","4574","@regression verify product Information/Data","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","1","get user test","chromium","2026-06-25","skipped","2026-06-25","","api/users.api.spec.ts","",""
"","2","mock search page with fake HTML","chromium","2026-06-25","skipped","2026-06-25","","api/intercept.spec.ts","",""
"","2388","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","1","@regression invalid login test with - - pw1234","chromium","2026-06-25","skipped","2026-06-25","","loginpagefix.spec.ts","",""
"","1","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-06-25","skipped","2026-06-25","","loginpagefix.spec.ts","",""
"","4514","@regression verify product images count","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","0","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-06-25","skipped","2026-06-25","","loginpagefix.spec.ts","",""
"","0","@regression verify search results count - macbook - MacBook Air","chromium","2026-06-25","skipped","2026-06-25","","search.spec.ts","",""
"","2342","@regression invalid login test with excel data -","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","1365","@regression DELETE - delete a user","chromium","2026-06-25","passed","2026-06-25","","api/users.api.indi.spec.ts","",""
"","3945","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","920","@regression GET -- get location data","chromium","2026-06-25","passed","2026-06-25","","api/amadeus.oauth2.spec.ts","",""
"","0","@regression verify search results count - imac - iMac","chromium","2026-06-25","skipped","2026-06-25","","search.spec.ts","",""
"","2533","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","2050","@regression forgot pwd link exist test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","1","@regression verify search results count - macbook - MacBook Pro","chromium","2026-06-25","skipped","2026-06-25","","search.spec.ts","",""
"","1839","@smoke login page title test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","0","Delete a user test","chromium","2026-06-25","skipped","2026-06-25","","api/users.api.spec.ts","",""
"","1","login page title test","chromium","2026-06-25","skipped","2026-06-25","","loginpage.spec.ts","",""
"","2533","@smoke intercept and log requests","chromium","2026-06-25","passed","2026-06-25","","api/intercept.spec.ts","",""
"","3633","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","3968","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","358","@regression POST API -- create a user","chromium","2026-06-25","passed","2026-06-25","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
